resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Operations Manager with 4 years of experience in operations and process management. Skilled in process improvement, supply chain, team leadership, and budgeting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in process improvement and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Operations Manager needed at a growing consulting agency. Required skills: process improvement, supply chain, and team leadership.",0.91,high,high,60,17
"Product Manager with 2 years of experience in product strategy and cross-functional delivery. Skilled in roadmapping, Agile, stakeholder management, and user research. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in roadmapping and continue growing professionally as part of a driven team.","Product Manager needed at a growing SaaS company. Required skills: roadmapping, Agile, stakeholder management, and user research. The ideal candidate has 1+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying roadmapping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.89,high,high,68,62
"Operations Manager with 8 years of experience in operations and process management. Skilled in process improvement, and supply chain. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in process improvement and continue growing professionally as part of a driven team.","Operations Manager needed at a growing startup. Required skills: process improvement, supply chain, team leadership, and budgeting. The ideal candidate has 7+ years of experience in operations and process management.",0.57,medium,medium,66,30
"Product Manager with 3 years of experience in product strategy and cross-functional delivery. Skilled in roadmapping, Agile, stakeholder management, user research, A/B testing, and JIRA. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in roadmapping and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Product Manager needed at a growing consulting agency. Required skills: roadmapping, Agile, stakeholder management, user research, and A/B testing. The ideal candidate has 1+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying roadmapping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.87,high,high,62,64
"Operations Manager with 6 years of experience in operations and process management. Skilled in process improvement, supply chain, team leadership, and budgeting. Proven track record of delivering measurable results for cross-functional teams.","Graphic Designer needed at a growing hospital network. Required skills: Adobe Photoshop, Illustrator, branding, typography, layout design, and InDesign. The ideal candidate has 4+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Adobe Photoshop to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.09,low,low,32,65
"Machine Learning Engineer with 8 years of experience in data analysis and reporting. Skilled in Python, and TensorFlow. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Python and continue growing professionally as part of a driven team.","Backend Engineer needed at a growing hospital network. Required skills: Python, FastAPI, PostgreSQL, REST APIs, and Docker. The ideal candidate has 2+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.12,low,low,64,53
"UX Designer with 2 years of experience in user experience and visual design. Skilled in Figma, wireframing, and user research. Proven track record of delivering measurable results for cross-functional teams.","UX Designer needed at a growing technology company. Required skills: Figma, wireframing, user research, and prototyping. The ideal candidate has 1+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Figma to solve real business problems.",0.87,high,high,30,52
"Full Stack Developer with 3 years of experience in software engineering and application development. Skilled in React, Node.js, JavaScript, MongoDB, and REST APIs. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Backend Engineer needed at a growing financial services company. Required skills: Python, FastAPI, PostgreSQL, and REST APIs. The ideal candidate has 2+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.49,medium,medium,60,62
"Accountant with 2 years of experience in financial planning and analysis. Skilled in bookkeeping, GAAP, and tax preparation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in bookkeeping and continue growing professionally as part of a driven team.","Accountant needed at a growing technology company. Required skills: bookkeeping, GAAP, tax preparation, and QuickBooks. The ideal candidate has 1+ years of experience in financial planning and analysis and a strong ability to work independently as well as within a team. Responsibilities include applying bookkeeping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.9,high,high,64,59
"Healthcare Analyst with 10 years of experience in healthcare data management. Skilled in SQL, and healthcare informatics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SQL and continue growing professionally as part of a driven team.","Healthcare Analyst needed at a growing e-commerce platform. Required skills: SQL, healthcare informatics, HIPAA compliance, Tableau, clinical data, and statistics.",0.49,medium,medium,63,20
"Financial Analyst with 1 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, forecasting, and valuation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in financial modeling and continue growing professionally as part of a driven team.","Financial Analyst needed at a growing e-commerce platform. Required skills: financial modeling, Excel, forecasting, valuation, and budgeting. The ideal candidate has 1+ years of experience in financial planning and analysis.",0.93,high,high,67,30
"Full Stack Developer with 3 years of experience in software engineering and application development. Skilled in React, Node.js, JavaScript, MongoDB, and REST APIs. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","QA Engineer needed at a growing consulting agency. Required skills: test automation, Selenium, manual testing, bug tracking, regression testing, and API testing. The ideal candidate has 2+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying test automation to solve real business problems.",0.45,medium,medium,60,59
"Data Scientist with 3 years of experience. Skilled in Python, machine learning, and pandas. Looking for a Python focused role.","Data Scientist needed at a growing enterprise firm. Required skills: Python, machine learning, pandas, statistics, SQL, and data storytelling. The ideal candidate has 1+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.88,high,high,20,54
"Digital Marketing Specialist with 7 years of experience in digital marketing and brand growth. Skilled in SEO, Google Ads, content strategy, social media marketing, and analytics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SEO and continue growing professionally as part of a driven team.","Content Writer needed at a growing technology company. Required skills: SEO writing, copywriting, content strategy, editing, WordPress, and research. The ideal candidate has 6+ years of experience in digital marketing and brand growth.",0.44,medium,medium,72,33
"Digital Marketing Specialist with 2 years of experience. Skilled in SEO, Google Ads, content strategy, social media marketing, and analytics. Looking for a SEO focused role.","Content Writer needed at a growing SaaS company. Required skills: SEO writing, copywriting, content strategy, editing, and WordPress. The ideal candidate has 1+ years of experience in digital marketing and brand growth and a strong ability to work independently as well as within a team. Responsibilities include applying SEO writing to solve real business problems.",0.54,medium,medium,26,55
"Data Scientist with 3 years of experience in data analysis and reporting. Skilled in Python, machine learning, pandas, and statistics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Machine Learning Engineer needed at a growing SaaS company. Required skills: Python, TensorFlow, PyTorch, model deployment, and scikit-learn. The ideal candidate has 2+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.42,medium,medium,57,62
"Content Writer with 7 years of experience in digital marketing and brand growth. Skilled in SEO writing, copywriting, and content strategy. Proven track record of delivering measurable results for cross-functional teams.","Business Analyst needed at a growing e-commerce platform. Required skills: requirements gathering, SQL, and process mapping. The ideal candidate has 10+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying requirements gathering to solve real business problems.",0.11,low,low,31,53
"Network Engineer with 8 years of experience in information security and risk management. Skilled in Cisco, routing and switching, and network troubleshooting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Cisco and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Network Engineer needed at a growing enterprise firm. Required skills: Cisco, routing and switching, network troubleshooting, VPN, firewalls, and TCP/IP.",0.9,high,high,59,20
"Business Analyst with 10 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, and process mapping. Proven track record of delivering measurable results for cross-functional teams.","Cloud Architect needed at a growing hospital network. Required skills: AWS, Azure, and cloud migration. The ideal candidate has 7+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying AWS to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.14,low,low,31,60
"Cloud Architect with 6 years of experience in software engineering and application development. Skilled in AWS, Azure, and cloud migration. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in AWS and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Cloud Architect needed at a growing startup. Required skills: AWS, Azure, cloud migration, infrastructure as code, and cost optimization. The ideal candidate has 4+ years of experience in software engineering and application development.",0.89,high,high,57,33
"UX Designer with 1 years of experience in user experience and visual design. Skilled in Figma, wireframing, user research, prototyping, and usability testing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Figma and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Graphic Designer needed at a growing technology company. Required skills: Adobe Photoshop, Illustrator, branding, typography, layout design, and InDesign. The ideal candidate has 1+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Adobe Photoshop to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.56,medium,medium,60,65
"Cloud Architect with 2 years of experience in software engineering and application development. Skilled in AWS, Azure, cloud migration, infrastructure as code, cost optimization, and security architecture. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in AWS and continue growing professionally as part of a driven team.","Cloud Architect needed at a growing e-commerce platform. Required skills: AWS, Azure, cloud migration, infrastructure as code, cost optimization, and security architecture. The ideal candidate has 1+ years of experience in software engineering and application development.",0.9,high,high,73,36
"Graphic Designer with 2 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, and branding. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Adobe Photoshop and continue growing professionally. Strong communicator with a history of mentoring junior team members.","UX Designer needed at a growing hospital network. Required skills: Figma, wireframing, user research, and prototyping.",0.51,medium,medium,58,16
"QA Engineer with 1 years of experience in software engineering and application development. Skilled in test automation, Selenium, manual testing, and bug tracking. Proven track record of delivering measurable results for cross-functional teams.","QA Engineer needed at a growing startup. Required skills: test automation, Selenium, manual testing, bug tracking, regression testing, and API testing. The ideal candidate has 1+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying test automation to solve real business problems.",0.86,high,high,33,58
"Operations Manager with 5 years of experience in operations and process management. Skilled in process improvement, supply chain, team leadership, budgeting, vendor management, and logistics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in process improvement and continue growing professionally as part of a driven team.","Operations Manager needed at a growing healthcare organization. Required skills: process improvement, supply chain, team leadership, budgeting, vendor management, and logistics. The ideal candidate has 3+ years of experience in operations and process management.",0.9,high,high,72,34
"DevOps Engineer with 6 years of experience in software engineering and application development. Skilled in Docker, Kubernetes, CI/CD, and AWS. Proven track record of delivering measurable results for cross-functional teams.","DevOps Engineer needed at a growing consulting agency. Required skills: Docker, Kubernetes, and CI/CD. The ideal candidate has 4+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Docker to solve real business problems.",0.9,high,high,30,50
"Operations Manager with 5 years of experience in operations and process management. Skilled in process improvement, supply chain, team leadership, and budgeting. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in process improvement and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Operations Manager needed at a growing startup. Required skills: process improvement, supply chain, team leadership, and budgeting. The ideal candidate has 4+ years of experience in operations and process management and a strong ability to work independently as well as within a team. Responsibilities include applying process improvement to solve real business problems.",0.53,medium,medium,60,53
"Data Scientist with 10 years of experience in data analysis and reporting. Skilled in Python, and machine learning. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Analyst needed at a growing healthcare organization. Required skills: SQL, Python, Power BI, and Excel. The ideal candidate has 9+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems.",0.53,medium,medium,55,51
"Data Analyst with 5 years of experience in data analysis and reporting. Skilled in SQL, Python, and Power BI. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SQL and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Analyst needed at a growing startup. Required skills: SQL, Python, Power BI, and Excel. The ideal candidate has 3+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems.",0.87,high,high,56,50
"Data Analyst with 6 years of experience in data analysis and reporting. Skilled in SQL, Python, and Power BI. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SQL and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Analyst needed at a growing enterprise firm. Required skills: SQL, Python, Power BI, Excel, data visualization, and statistics. The ideal candidate has 4+ years of experience in data analysis and reporting.",0.94,high,high,56,32
"Data Scientist with 10 years of experience in data analysis and reporting. Skilled in Python, machine learning, and pandas. Proven track record of delivering measurable results for cross-functional teams.","Data Scientist needed at a growing technology company. Required skills: Python, machine learning, and pandas. The ideal candidate has 8+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.9,high,high,29,59
"Data Scientist with 6 years of experience in data analysis and reporting. Skilled in Python, machine learning, pandas, statistics, SQL, and data storytelling. Proven track record of delivering measurable results for cross-functional teams.","Data Scientist needed at a growing e-commerce platform. Required skills: Python, machine learning, pandas, statistics, and SQL. The ideal candidate has 4+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.91,high,high,33,52
"HR Manager with 3 years of experience in human resources and talent management. Skilled in recruitment, employee relations, HRIS, and onboarding. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in recruitment and continue growing professionally. Strong communicator with a history of mentoring junior team members.","HR Manager needed at a growing healthcare organization. Required skills: recruitment, employee relations, HRIS, and onboarding. The ideal candidate has 1+ years of experience in human resources and talent management and a strong ability to work independently as well as within a team. Responsibilities include applying recruitment to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.92,high,high,58,61
"Healthcare Analyst with 2 years of experience in healthcare data management. Skilled in SQL, healthcare informatics, and HIPAA compliance. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SQL and continue growing professionally as part of a driven team.","Healthcare Analyst needed at a growing healthcare organization. Required skills: SQL, healthcare informatics, and HIPAA compliance. The ideal candidate has 1+ years of experience in healthcare data management and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.41,medium,medium,65,59
"Graphic Designer with 4 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, branding, typography, and layout design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Adobe Photoshop and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Graphic Designer needed at a growing financial services company. Required skills: Adobe Photoshop, Illustrator, and branding. The ideal candidate has 2+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Adobe Photoshop to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.92,high,high,61,62
"Full Stack Developer with 6 years of experience in software engineering and application development. Skilled in React, Node.js, JavaScript, MongoDB, REST APIs, and Git. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Full Stack Developer needed at a growing startup. Required skills: React, Node.js, JavaScript, MongoDB, REST APIs, and Git. The ideal candidate has 4+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying React to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.95,high,high,61,63
"Accountant with 5 years of experience in financial planning and analysis. Skilled in bookkeeping, GAAP, and tax preparation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in bookkeeping and continue growing professionally as part of a driven team.","Cybersecurity Analyst needed at a growing SaaS company. Required skills: SIEM, penetration testing, network security, and incident response. The ideal candidate has 10+ years of experience in information security and risk management.",0.09,low,low,64,32
"Operations Manager with 7 years of experience in operations and process management. Skilled in process improvement, supply chain, and team leadership. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in process improvement and continue growing professionally as part of a driven team.","Operations Manager needed at a growing technology company. Required skills: process improvement, supply chain, team leadership, and budgeting. The ideal candidate has 5+ years of experience in operations and process management.",0.91,high,high,68,31
"Business Analyst with 8 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, process mapping, stakeholder communication, and Excel. Proven track record of delivering measurable results for cross-functional teams.","Healthcare Analyst needed at a growing SaaS company. Required skills: SQL, healthcare informatics, and HIPAA compliance. The ideal candidate has 5+ years of experience in healthcare data management.",0.09,low,low,34,28
"Backend Engineer with 2 years of experience in software engineering and application development. Skilled in Python, FastAPI, and PostgreSQL. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Backend Engineer needed at a growing e-commerce platform. Required skills: Python, FastAPI, PostgreSQL, REST APIs, and Docker. The ideal candidate has 1+ years of experience in software engineering and application development.",0.9,high,high,56,31
"Product Manager with 5 years of experience in product strategy and cross-functional delivery. Skilled in roadmapping, Agile, and stakeholder management. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in roadmapping and continue growing professionally as part of a driven team.","Product Manager needed at a growing financial services company. Required skills: roadmapping, Agile, stakeholder management, user research, A/B testing, and JIRA. The ideal candidate has 3+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying roadmapping to solve real business problems.",0.94,high,high,66,57
"Business Analyst with 5 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, process mapping, and stakeholder communication. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in requirements gathering and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Business Analyst needed at a growing technology company. Required skills: requirements gathering, SQL, process mapping, stakeholder communication, and Excel. The ideal candidate has 3+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying requirements gathering to solve real business problems.",0.89,high,high,61,56
"UX Designer with 10 years of experience in user experience and visual design. Skilled in Figma, wireframing, and user research. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Figma and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Full Stack Developer needed at a growing technology company. Required skills: React, Node.js, JavaScript, and MongoDB.",0.07,low,low,57,16
"Content Writer with 5 years of experience in digital marketing and brand growth. Skilled in SEO writing, copywriting, content strategy, editing, WordPress, and research. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SEO writing and continue growing professionally as part of a driven team.","Content Writer needed at a growing e-commerce platform. Required skills: SEO writing, copywriting, content strategy, and editing. The ideal candidate has 3+ years of experience in digital marketing and brand growth.",0.87,high,high,71,31
"Business Analyst with 2 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, process mapping, and stakeholder communication. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in requirements gathering and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Machine Learning Engineer needed at a growing startup. Required skills: Python, TensorFlow, and PyTorch. The ideal candidate has 1+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.07,low,low,61,58
"Machine Learning Engineer with 7 years of experience in data analysis and reporting. Skilled in Python, and TensorFlow. Proven track record of delivering measurable results for cross-functional teams.","Operations Manager needed at a growing SaaS company. Required skills: process improvement, supply chain, team leadership, budgeting, and vendor management.",0.09,low,low,28,20
"Machine Learning Engineer with 3 years of experience in data analysis and reporting. Skilled in Python, TensorFlow, PyTorch, model deployment, and scikit-learn. Proven track record of delivering measurable results for cross-functional teams.","Machine Learning Engineer needed at a growing financial services company. Required skills: Python, TensorFlow, PyTorch, and model deployment. The ideal candidate has 1+ years of experience in data analysis and reporting.",0.89,high,high,32,31
"Cybersecurity Analyst with 1 years of experience in information security and risk management. Skilled in SIEM, penetration testing, network security, incident response, and firewalls. Proven track record of delivering measurable results for cross-functional teams.","Network Engineer needed at a growing startup. Required skills: Cisco, routing and switching, and network troubleshooting. The ideal candidate has 1+ years of experience in information security and risk management.",0.49,medium,medium,34,30
"Mobile App Developer with 8 years of experience in software engineering and application development. Skilled in Flutter, Kotlin, Swift, REST APIs, and mobile UI design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Flutter and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Mobile App Developer needed at a growing financial services company. Required skills: Flutter, Kotlin, Swift, REST APIs, mobile UI design, and Firebase. The ideal candidate has 6+ years of experience in software engineering and application development.",0.86,high,high,62,36
"Full Stack Developer with 10 years of experience. Skilled in React, Node.js, JavaScript, and MongoDB. Looking for a React focused role.","Machine Learning Engineer needed at a growing enterprise firm. Required skills: Python, TensorFlow, and PyTorch. The ideal candidate has 6+ years of experience in data analysis and reporting.",0.09,low,low,21,28
"Product Manager with 8 years of experience. Skilled in roadmapping, Agile, stakeholder management, user research, and A/B testing. Looking for a roadmapping focused role.","Business Analyst needed at a growing financial services company. Required skills: requirements gathering, SQL, and process mapping.",0.41,medium,medium,24,17
"HR Manager with 3 years of experience in human resources and talent management. Skilled in recruitment, employee relations, and HRIS. Proven track record of delivering measurable results for cross-functional teams.","Operations Manager needed at a growing financial services company. Required skills: process improvement, supply chain, team leadership, budgeting, vendor management, and logistics. The ideal candidate has 10+ years of experience in operations and process management.",0.92,low,low,30,35
"Cybersecurity Analyst with 7 years of experience in information security and risk management. Skilled in SIEM, penetration testing, network security, incident response, and firewalls. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SIEM and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Network Engineer needed at a growing SaaS company. Required skills: Cisco, routing and switching, network troubleshooting, VPN, and firewalls. The ideal candidate has 6+ years of experience in information security and risk management and a strong ability to work independently as well as within a team. Responsibilities include applying Cisco to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.54,medium,medium,61,64
"Digital Marketing Specialist with 4 years of experience in digital marketing and brand growth. Skilled in SEO, Google Ads, content strategy, social media marketing, and analytics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in SEO and continue growing professionally as part of a driven team.","Product Manager needed at a growing healthcare organization. Required skills: roadmapping, Agile, stakeholder management, user research, A/B testing, and JIRA. The ideal candidate has 3+ years of experience in product strategy and cross-functional delivery and a strong ability to work independently as well as within a team. Responsibilities include applying roadmapping to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.12,low,low,72,65
"Accountant with 2 years of experience in financial planning and analysis. Skilled in bookkeeping, and GAAP. Proven track record of delivering measurable results for cross-functional teams.","Data Analyst needed at a growing e-commerce platform. Required skills: SQL, Python, and Power BI. The ideal candidate has 4+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.09,low,low,26,59
"Graphic Designer with 8 years of experience in user experience and visual design. Skilled in Adobe Photoshop, Illustrator, branding, typography, and layout design. Proven track record of delivering measurable results for cross-functional teams.","UX Designer needed at a growing consulting agency. Required skills: Figma, wireframing, user research, prototyping, and usability testing. The ideal candidate has 7+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Figma to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.43,medium,medium,33,63
"Sales Manager with 1 years of experience in business development and client relationship management. Skilled in B2B sales, CRM, and lead generation. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in B2B sales and continue growing professionally. Strong communicator with a history of mentoring junior team members.","DevOps Engineer needed at a growing hospital network. Required skills: Docker, Kubernetes, and CI/CD. The ideal candidate has 3+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying Docker to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.88,low,low,60,59
"Business Analyst with 5 years of experience in product strategy and cross-functional delivery. Skilled in requirements gathering, SQL, and process mapping. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in requirements gathering and continue growing professionally as part of a driven team.","Product Manager needed at a growing healthcare organization. Required skills: roadmapping, Agile, and stakeholder management. The ideal candidate has 4+ years of experience in product strategy and cross-functional delivery.",0.47,medium,medium,68,29
"QA Engineer with 4 years of experience in software engineering and application development. Skilled in test automation, Selenium, manual testing, and bug tracking. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in test automation and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Full Stack Developer needed at a growing hospital network. Required skills: React, Node.js, JavaScript, MongoDB, REST APIs, and Git. The ideal candidate has 3+ years of experience in software engineering and application development.",0.54,medium,medium,61,33
"Mobile App Developer with 5 years of experience in software engineering and application development. Skilled in Flutter, Kotlin, Swift, REST APIs, and mobile UI design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Flutter and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Mobile App Developer needed at a growing financial services company. Required skills: Flutter, Kotlin, and Swift.",0.88,high,high,62,16
"UX Designer with 10 years of experience in user experience and visual design. Skilled in Figma, wireframing, user research, prototyping, and usability testing. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Figma and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Graphic Designer needed at a growing e-commerce platform. Required skills: Adobe Photoshop, Illustrator, branding, and typography. The ideal candidate has 9+ years of experience in user experience and visual design and a strong ability to work independently as well as within a team. Responsibilities include applying Adobe Photoshop to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.44,medium,medium,60,62
